index,date,route_id,route_name,direction,stop_id,stop_name,ons,offs,vehicle_id
235,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139014,BROWNS MILL RD SE/2039,,,2409
236,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139050,JONESBORO RD SE/WHATLEY ST SE,1,1,2409
237,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102148,MITCHELL ST SW/PRYOR ST SW,,,2409
238,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102150,CAPITOL SQ SW/CAPITOL PL SW,,,2409
239,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125060,MCDONOUGH BLVD SE/MARCY ST SE,,1,2409
240,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125066,JONESBORO RD SE/MARTIN AVE SE,,,2409
241,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139008,JONESBORO RD SE/JORDAN ST SE,,,2409
242,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102262,MITCHELL ST SW/CENTRAL AVE SW,1,,2409
243,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115172,HANK AARON DR/VANIRA AVE SE,,,2409
244,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115194,CAPITOL AVE/FULTON ST,,,2409
245,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125067,JONESBORO RD SE/THIRKIELD AVE SE,,,2409
246,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159246,HUTCHENS RD SE/JONESBORO RD SE,,,2409
247,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102270,BROAD ST/ALABAMA ST (FIVE POINTS STATION),19,,2409
248,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159272,JONESBORO RD SE/SPRINGSIDE DR SE,,,2409
249,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159274,JONESBORO RD SE/SPRINGSIDE DR,,,2409
250,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125028,WEYMAN AVE SW/RIDGE AVE SW,,,2409
251,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125070,JONESBORO RD SE/MELDON AVE SE,,,2409
252,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125072,JONESBORO RD SE/MOURY AVE SE,,2,2409
253,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125244,WEYMAN AVE/HANK AARON DR,,,2409
254,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,138006,JONESBORO RD SE/LETHEA ST SE,,,2409
255,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139012,BROWNS MILL RD SE/ADELLE ST SE,,,2409
256,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115204,HANK AARON DR SW/LITTLE ST SE,,,2409
257,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115176,HANK AARON DR/964,,,2409
258,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,150069,JONESBORO RD SE/CLEVELAND AVE SE,1,1,2409
259,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115192,HANK AARON DR/RALPH D ABERNATHY BLVD,,,2409
260,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115164,HANK AARON DR/ORMOND ST SE,,1,2409
261,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125030,RIDGE AVE SW/PULLIAM ST,,1,2409
262,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125062,MCDONOUGH BLVD SE/JONESBORO RD SE,,,2409
263,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125064,JONESBORO RD SE/GAMMON AVE SE,,,2409
264,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139010,BROWNS MILL RD SE/LAQUITA DR SE,,3,2409
265,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,150010,JONESBORO RD SE/MIDWAY ST SE,,,2409
266,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159254,HUTCHENS RD SE/DONNEBROOK LN SE,,,2409
267,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159250,HUTCHENS RD SE/565,,,2409
268,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159252,HUTCHENS RD SE/KING SMITH RD SE,,,2409
269,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115180,HANK AARON DR SW/HAYGOOD AVE SW,,1,2409
270,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115222,HANK AARON DR SW/BILL LUCAS DR SW,,,2409
271,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115168,HANK AARON DR/ATLANTA AVE SE,,1,2409
272,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125068,JONESBORO RD SE/BROWN AVE SE,,,2409
273,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159276,JONESBORO RD SE/2961,,1,2409
274,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159410,HUTCHENS RD/KATOMARICK DR,,,2409
275,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212074,JONESBORO RD/OLD JONESBORO RD,,1,2409
276,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212075,JONESBORO RD/GRACE DR,,1,2409
277,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212076,JONESBORO RD/FOREST AVE,,,2409
278,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212077,JONESBORO RD/MARIE ST,,,2409
279,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212204,HUTCHENS RD SE/860,,,2409
280,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167002,HUTCHENS RD/FORREST PARK RD,1,,2409
281,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167004,FORREST PARK RD SE/PINE FOREST DR,,,2409
282,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167006,FORREST PARK RD SE/EISENHOWER RD SE,,1,2409
283,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167008,FORREST PARK RD SE/HENDON RD,,,2409
284,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167010,FORREST PARK RD SE/FOREST VALLEY DR,,,2409
285,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167012,CONLEY RD SE/900,,,2409
286,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212352,FOREST PKY/ASH ST,,,2409
287,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212353,FOREST PKY/BARTLETT DR,,0,2409
288,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212581,FOREST PKY/MAPLE DR,,,2409
289,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167016,CONLEY RD SE/JONESBORO RD SE,,1,2409
290,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167034,FORREST PARK RD/CONLEY RD,,1,2409
291,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,210010,HUTCHENS RD/860,,,2409
292,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212584,MAIN ST/JONESBORO RD,,,2409
293,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212585,MAIN ST/PHILLIPS DR,,1,2409
294,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212586,MAIN ST/COLLEGE ST,,,2409
295,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212675,JONESBORO RD SE/HARPER RD SE,,,2409
296,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212835,JONESBORO RD SE/CLAIRE DR SE,,,2409
297,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,210601,BROWNS MILL RD/HARPER RD,,,2409
298,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211148,HANK AARON DR SE/BASS ST SE,,,2409
299,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211169,UNIVERSITY AVE SW/71,,,2409
300,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211194,JONESBORO RD SE/CONSTITUTION RD SE,,,2409
